Brand, Product Name, Shipping, Price
Honor,"Honor 7X Unlocked Smartphone with Dual Camera (5.93"" Red| 32GB Storage 3GB RAM) US Warranty",Free Shipping,199.99
Motorola,"Motorola Moto G6 Play 4G LTE Unlocked Cell Phone US Version (5.7"" Deep Indigo|  32GB 3GB RAM)",Free Shipping,199.99
Motorola,Motorola Nexus 6 XT1100 64GB Unlocked GSM 4G LTE Phone w/ 13MP Camera - Midnight Blue,Free Shipping,180.99
Honor,"Honor View 10 4G LTE Unlocked Cell Phone (5.99"" Blue |128GB 6GB RAM)",Free Shipping,429.49
Motorola,Moto G5 Plus XT1687 32GB Smartphone (Unlocked| Fine Gold) - US Warranty,Free Shipping,229.99
SAMSUNG,Samsung Galaxy S9 G9600 64GB Single SIM Unlocked GSM 4G LTE Phone w/ 12 MP Camera - Titanium Gray (International Version),Free Shipping,615
Honor,"Honor View 10 4G LTE Unlocked Cell Phone (5.99"" Black |128GB 6GB RAM)",Free Shipping,429.49
Honor,"Honor 7X Unlocked Smartphone with Dual Camera (5.93"" Black| 32GB Storage 3GB RAM) US Warranty",Free Shipping,199.99
SAMSUNG,Samsung Galaxy S9 G9600 64GB Single SIM Unlocked GSM 4G LTE Phone w/ 12 MP Camera - Midnight Black (International Version),Free Shipping,615
SAMSUNG,"Samsung Galaxy S8+ (Plus) G955FD Dual SIM GSM Unlocked Smart Phone| 6.2"" AMOLED Display| Midnight Black Color| 64GB Storage International Version - No Warranty",Free Shipping,527.5
Motorola,"Motorola Moto G6 4G LTE Unlocked Cell Phone US Version (5.7"" Black| 32GB 3GB RAM)",Free Shipping,249.99
Sony Mobile,"Sony Xperia XA 5"" Unlocked Smartphone - 16GB - US Warranty (Graphite Black)",Free Shipping,99.95
Huawei,"Huawei Mate SE 4G LTE Unlocked Cell Phone (5.93"" Gold | 64GB Storage 4GB RAM )",$5.99 Shipping,349.95
RAZER,"Razer Phone - Unlocked| 120 Hz Ultra Motion Display| Dual Camera| Dual Front-Facing Speakers| Gaming Phone (5.7"" Black| 64GB| 8GB RAM)",Free Shipping,689.99
Huawei,"Huawei Mate 10 Pro Unlocked Smartphone with Dual Camera (6"" Mocha Brown| 128GB Storage 6GB RAM) US Warranty",Free Shipping,499.99
Huawei,"Huawei Mate 10 Pro Unlocked Smartphone with Dual Camera (6"" Titanium Gray| 128GB Storage 6GB RAM) US Warranty",Free Shipping,549.99
Nubia,"Nubia N1 Lite 4G LTE Dual SIM Unlocked Smartphone 5.5"" 2GB RAM Black/Gold| US Warranty",Free Shipping,149.99
Nokia,"Nokia 6 TA-1025 Unlocked Smartphone with Dual Camera (5.5"" Silver| 32GB Storage 3GB RAM) US Warranty",Free Shipping,199
Apple,Refurbished: Apple iPhone SE 64GB IOS Unlocked GSM Phone - Rose Gold,Free Shipping,199.99
Apple,Refurbished: Apple iPhone 5 32GB 4G LTE White - Verizon Factory Unlocked,Free Shipping,74.99
Motorola,Moto X4 (4th Gen)| 5.2 Inches| FHD LTPS| 3GB RAM| 32GB Storage| Dual Rear Camera| Unlocked Cell Phone| US Warranty| Super Black (PA8S0006US),Free Shipping,299.99
Apple,"Refurbished: Apple iPhone 5s 4G LTE Unlocked Cell Phone 4.0"" Silver 16GB 1GB RAM",Free Shipping,83.56
Nokia,"Nokia 6 TA-1025 Unlocked Smartphone with Dual Camera (5.5"" Black| 32GB Storage 3GB RAM) US Warranty",Free Shipping,199
ASUS,"Asus Zenfone 5Z ZS620KL 4G LTE Unlocked Cell Phone 6.2"" Blue 64GB 6GB RAM",Free Shipping,499
BLU,BLU Vivo XI+ V0311WW 128GB Unlocked GSM Dual-SIM Android Phone w/ Dual: 16MP|5MP Camera - Silver,Free Shipping,329.99
ASUS,"Asus Zenfone 5Q ZC600KL 4G LTE Unlocked Cell Phone 6"" Black 64GB 4GB RAM",Free Shipping,299
Sony Mobile,"Sony Xperia XA1 Ultra G3223 4G LTE Unlocked Smartphone - US Warranty 6"" Black 32GB 4GB RAM",Free Shipping,219.95
ASUS,"Refurbished: Asus ZenFone 3 MAX ZC520TL 4G LTE Unlocked Cell Phone 5.2"" Gray 16GB 2GB RAM",Free Shipping,102.99
LG Mobile,"Refurbished: LG Nexus 5X H790 32GB 4G LTE Unlocked Cell Phone| 5.2"" 2GB RAM Carbon Black| Hexa-core| No Accessory| Grade B",Free Shipping,124.99
LG Mobile,"LG G6 PLUS H870DSU Unlocked GSM Smartphone International Version (5.7"" Black| 128GB Storage 4GB RAM) No Warranty",Free Shipping,485.14
Acer America,"Acer Liquid Z630 Unlocked Smartphone with Dual Camera (5.5"" Black| 16GB Storage 2GB RAM) US Warranty",Free Shipping,79.95
HTC,HTC 10 Evo 32GB Unlocked GSM 4G LTE Octa-Core Rugged Phone w/ 16 MP Camera - Glacial Silver,Free Shipping,147.13
LG Mobile,"LG G6 H870DS Dual SIM Unlocked GSM Smartphone International Version (5.7"" White| 64GB Storage 4GB RAM) No Warranty",Free Shipping,399.99
Motorola,"Motorola Moto E4 (4th Gen) Plus 4G LTE Unlocked Cell Phone (5.5"" 16GB 2GB RAM) Fine Gold",Free Shipping,179.99
Motorola,Moto Z 64GB Lunar Gray Unlocked Smartphone – US Warranty,Free Shipping,299.99
Motorola,Moto X4 (4th Gen)| 5.2 Inches| FHD LTPS| 3GB RAM| 32GB Storage| Dual Rear Camera| Unlocked Cell Phone| US Warranty| Sterling blue (PA8S0007US),Free Shipping,299.99
